"gene","MoransI_observed","MoransI_p.value","MoransI_p.adj"
"ARR4",NA,NA,NA
"ZFP5",NA,NA,NA
"AT1G10490",NA,NA,NA
"CPISCA",NA,NA,NA
"emb2004",NA,NA,NA
"Pol{lambda}",NA,NA,NA
"PRIN2",NA,NA,NA
"AT1G10530",NA,NA,NA
"PUB18",NA,NA,NA
"OTS2",NA,NA,NA
"AT1G10580",NA,NA,NA
"AT1G10590",NA,NA,NA
"AMSH2",NA,NA,NA
"AT1G10610",NA,NA,NA
"ARFA1F",NA,NA,NA
"AT1G10640",NA,NA,NA
"AT1G10650",NA,NA,NA
"AT1G10657",NA,NA,NA
"AT1G10660",NA,NA,NA
"ACLA-1",NA,NA,NA
"AT1G10690",NA,NA,NA
"PRS3",NA,NA,NA
"AT1G10720",NA,NA,NA
"AT1G10730",NA,NA,NA
"AT1G10740",NA,NA,NA
"AT1G10750",NA,NA,NA
"SEX1",NA,NA,NA
"AT1G10780",NA,NA,NA
"AT1G10810",NA,NA,NA
"AT1G10820",NA,NA,NA
"Z-ISO",NA,NA,NA
"TIF3H1",NA,NA,NA
"AT1G10850",NA,NA,NA
"AT1G10865",NA,NA,NA
"AGD4",NA,NA,NA
"AT1G10890",NA,NA,NA
"AT1G10900",NA,NA,NA
"EMB3103",NA,NA,NA
"RECQ4A",NA,NA,NA
"SNRK2.4",NA,NA,NA
"TMN1",NA,NA,NA
"FD1",NA,NA,NA
"ZIP4",NA,NA,NA
"AT1G10990",NA,NA,NA
"MLO4",NA,NA,NA
"AT1G11020",NA,NA,NA
"AT1G11050",NA,NA,NA
"AT1G11060",NA,NA,NA
"AT1G11090",NA,NA,NA
"AT1G11100",NA,NA,NA
"AT1G11112",NA,NA,NA
"AT1G11120",NA,NA,NA
"SUB",NA,NA,NA
"AT1G11160",NA,NA,NA
"AT1G11170",NA,NA,NA
"SCAMP2",NA,NA,NA
"AT1G11200",NA,NA,NA
"AT1G11220",NA,NA,NA
"AT1G11240",NA,NA,NA
"STP1",NA,NA,NA
"AT1G11270",NA,NA,NA
"AT1G11280",NA,NA,NA
"CRR22",NA,NA,NA
"AT1G11300",NA,NA,NA
"MLO2",NA,NA,NA
"AT1G11320",NA,NA,NA
"SD1-13",NA,NA,NA
"AT1G11360",NA,NA,NA
"AT1G11380",NA,NA,NA
"AT1G11390",NA,NA,NA
"PYM",NA,NA,NA
"AT1G11410",NA,NA,NA
"DUF2",NA,NA,NA
"MORF9",NA,NA,NA
"AT1G11440",NA,NA,NA
"NRPB10",NA,NA,NA
"AT1G11480",NA,NA,NA
"CXXS1",NA,NA,NA
"AT1G11540",NA,NA,NA
"XTH8",NA,NA,NA
"PMEPCRA",NA,NA,NA
"AT1G04857",NA,NA,NA
"CYP77B1",NA,NA,NA
