"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.56157097823418e-11,5.40548532888454,0.053,0.001,6.35811651034366e-07,"5","AT1G60680"
3.71436972569973e-11,5.21839387570589,0.053,0.001,6.63089283431915e-07,"5","DOT1"
4.31236734100184e-11,3.62428355299405,0.088,0.005,7.69843817715649e-07,"5","AT4G11320"
3.46224606762364e-10,2.59987436398133,0.333,0.092,6.18080167992172e-06,"5","CAT3"
6.19248235603945e-10,3.61730000785477,0.228,0.047,1.10548195020016e-05,"5","LCR68"
1.29704195788961e-09,6.72800397298793,0.07,0.004,2.31547930322452e-05,"5","AT3G55420"
1.35140020896932e-09,5.18005757856157,0.07,0.004,2.41251965305203e-05,"5","GDU2"
2.54667483132055e-09,4.32635241501475,0.053,0.002,4.54632390887345e-05,"5","AT1G79620"
2.59123606618277e-09,4.28737929652088,0.053,0.002,4.62587462534948e-05,"5","FLA11"
9.8297037797191e-09,7.40644742262122,0.035,0.001,0.000175479871875545,"5","AT1G71870"
9.8297037797191e-09,6.29125558634197,0.035,0.001,0.000175479871875545,"5","AT3G53100"
1.00647155943706e-08,5.51988311331574,0.035,0.001,0.000179675302790703,"5","AT2G44300"
1.03051850071317e-08,5.17544496220114,0.035,0.001,0.000183968162747315,"5","AT4G36470"
1.10276063981471e-08,4.65836443163664,0.158,0.027,0.000196864829419722,"5","AT1G12080"
1.12217865367819e-08,2.97964976603301,0.14,0.021,0.000200331333254631,"5","MT3"
1.13893699766842e-08,4.09218819858229,0.07,0.005,0.000203323032823767,"5","AT5G46730"
1.33853641811762e-08,4.05748814745579,0.158,0.027,0.000238955521362357,"5","PATL1"
1.87790990920122e-08,2.87657964973437,0.263,0.071,0.000335244476990602,"5","MT2B"
3.68395163353089e-08,5.17006524188978,0.14,0.023,0.000657659045617934,"5","AT3G05900"
5.03780719482958e-08,4.51687393927391,0.053,0.003,0.000899349340420976,"5","AT5G65040"
5.11274150112627e-08,4.94444696088755,0.053,0.003,0.000912726612781061,"5","ACL5"
5.18875562867134e-08,4.15829212484655,0.053,0.003,0.000926296654830408,"5","GDU3"
3.00598516924765e-07,3.53578462516245,0.105,0.014,0.00536628472414091,"5","CYP98A3"
4.28523257116639e-07,11.006370999163,0.018,0,0.00764999718604624,"5","JP630"
4.28523257116639e-07,10.6844221641928,0.018,0,0.00764999718604624,"5","AT1G28610"
4.28523257116639e-07,10.555703495863,0.018,0,0.00764999718604624,"5","AT1G29520"
4.28523257116639e-07,10.3645161563021,0.018,0,0.00764999718604624,"5","PRR1"
4.28523257116639e-07,10.555703495863,0.018,0,0.00764999718604624,"5","AT1G52700"
