"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AT4G17520",1.81239482428663e-18,-2.6494693748423,0.076,0.642,3.23548724031649e-14
"ATARCA",1.92894870738533e-18,-1.19394318991304,0.186,0.864,3.44355923242429e-14
"CSD2",1.98321023128823e-18,-2.78295300199057,0.055,0.605,3.54042690489575e-14
"Hsp70-2",1.98805033289883e-18,-6.17670216980949,0.007,0.469,3.54906745429099e-14
"NRP2",2.22154491269286e-18,-3.67413402269216,0.028,0.531,3.9659019781393e-14
"AT1G02870",2.24254063938476e-18,-4.469828183565,0.014,0.494,4.00338354942967e-14
"NRPA2",2.3717370055322e-18,-2.79897052837381,0.034,0.556,4.23402490227609e-14
"AT2G15000",2.49585350207019e-18,-3.16626168065833,0.034,0.543,4.4555976718957e-14
"AT3G60210",3.05094699018823e-18,-3.15692041633303,0.028,0.531,5.44655056688403e-14
"AT5G61880",3.39361775711681e-18,-3.81994716144603,0.014,0.494,6.05828642000492e-14
"SAC52",3.59993219109645e-18,-1.15324367063096,0.324,0.975,6.42659894754538e-14
